event_id,session_id,event_ts,event_type,user_id,ip,user_agent,amount
ccca3886-ed3c-4ef8-80f9-9d9fd651aa80,sess-velocity-001,2026-04-20T10:00:00,login,user-whale-001,185.220.101.50,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),
7b8cbab6-da60-4438-9955-8f1f3cdc7996,sess-velocity-001,2026-04-20T10:01:00,purchase,user-0001,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,106.05
c55237b4-021e-4d6e-b6cc-01f058b1674c,sess-velocity-001,2026-04-20T10:02:00,purchase,user-0002,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,32.54
c810368c-ed4c-419d-bf39-cec633e10e8e,sess-velocity-001,2026-04-20T10:03:00,page_view,user-0003,185.220.101.50,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),
436b6cae-fb72-4e13-bee2-8fe27af54402,sess-velocity-001,2026-04-20T10:04:00,login,user-0004,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
677eb6ae-bc87-4f7b-9629-ec55221df2d6,sess-velocity-001,2026-04-20T10:05:00,login,user-0005,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
5a6326d5-b9a9-4bc9-ac8c-c1d27305632a,sess-velocity-001,2026-04-20T10:06:00,session_start,user-0006,185.220.101.50,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),
784e01d1-1372-4f85-bd46-268c8121fb24,sess-velocity-001,2026-04-20T10:07:00,login,user-0007,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
95502ff1-1ee8-4390-a438-46fb96038ae6,sess-velocity-001,2026-04-20T10:08:00,page_view,user-0008,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
83d5837e-b1e1-46f4-8e0b-e8c58445e768,sess-velocity-001,2026-04-20T10:09:00,page_view,user-0009,185.220.101.50,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),
8e4a9075-2ddb-40b8-aa2d-66cd7e03a2d1,sess-velocity-001,2026-04-20T10:10:00,session_start,user-0010,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
594f8b47-301a-4f0f-80e5-592c0c28ab33,sess-velocity-001,2026-04-20T10:11:00,page_view,user-0011,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
e00e4b2c-4e92-4dfc-bcd7-bc6e5c888071,sess-velocity-001,2026-04-20T10:12:00,purchase,user-0012,185.220.101.50,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),65.68
aaf8b23b-5e70-4abd-a979-cf9560bb5042,sess-velocity-001,2026-04-20T10:13:00,session_start,user-0013,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
e5abb720-39c2-4495-83cb-3d43cde5caf5,sess-velocity-001,2026-04-20T10:14:00,page_view,user-0014,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
23bef322-ada9-4509-9672-ee78c17a11a6,sess-velocity-001,2026-04-20T10:15:00,page_view,user-0015,185.220.101.50,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),
8d4a8252-5be2-4182-99ca-f80863077bf5,sess-velocity-001,2026-04-20T10:16:00,purchase,user-0016,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,50.88
be2f5b13-bf3b-4344-8184-caaea31baaa7,sess-velocity-001,2026-04-20T10:17:00,purchase,user-0017,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,55.38
a5dc688e-9b9f-4d0e-892d-10cfd7de8910,sess-velocity-001,2026-04-20T10:18:00,session_start,user-0018,185.220.101.50,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),
772097a9-f418-49d0-a7be-5c0acfe537a3,sess-velocity-001,2026-04-20T10:19:00,login,user-0019,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
fb10aba9-4edd-4ee5-adff-ef5caec482a6,sess-velocity-001,2026-04-20T10:20:00,page_view,user-0020,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
4debcb79-3a60-4e5a-a22d-ed91f81115d4,sess-velocity-001,2026-04-20T10:21:00,page_view,user-0021,185.220.101.50,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),
cb61fba6-8e8b-4835-a086-ecd217e135fc,sess-velocity-001,2026-04-20T10:22:00,login,user-0022,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
5407ef77-38d7-4db3-a2a8-39aae427b807,sess-velocity-001,2026-04-20T10:23:00,purchase,user-0023,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,7.42
7e04a563-aa5c-40f8-b156-71e19382d9c0,sess-velocity-001,2026-04-20T10:24:00,page_view,user-0024,185.220.101.50,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),
439554df-09cd-4cdd-81b9-bfa57c3bd551,sess-0025,2026-04-20T12:25:00,page_view,user-0025,192.0.2.29,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
56e56d83-3a50-4f83-b97f-afdccf8873ed,sess-0026,2026-04-21T13:26:00,login,user-0026,203.0.113.10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
384022ba-9787-4913-a6cc-d272cbbe3aac,sess-0027,2026-04-22T14:27:00,login,user-0027,203.0.113.11,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),
3debbd4e-047d-4c5f-bf5a-476b65b97fe5,sess-0028,2026-04-23T15:28:00,login,user-0028,8.8.8.8,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
a9d1527a-080a-44a2-af9d-095280b41a14,sess-0029,2026-04-24T16:29:00,page_view,user-0029,1.1.1.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
e296ffff-8b2d-475a-bf54-fd8a9631aa72,sess-0030,2026-04-25T17:30:00,login,user-0030,165.21.186.1,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),
cad6fa88-9841-4244-be5a-fd68fbd810c8,sess-0031,2026-04-26T18:31:00,login,user-whale-001,185.220.101.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
cb71ddff-aa78-406d-83bd-5c9e796baba5,sess-0032,2026-04-27T19:32:00,purchase,user-0032,192.0.2.10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,13.15
3d7a4726-341b-4c0b-920f-5ae5d56df2e8,sess-0033,2026-04-28T20:33:00,page_view,user-0033,192.0.2.11,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),
6b38b9b6-277f-406a-acdd-a20ed1aabb2e,sess-0034,2026-04-29T21:34:00,purchase,user-0034,192.0.2.12,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,81.93
b526df78-482f-4962-965e-4f66b44d0375,sess-0035,2026-04-30T22:35:00,page_view,user-0035,192.0.2.13,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,
a0ae5d37-477b-42f5-999c-d235772b6074,sess-0036,2026-05-01T23:36:00,page_view,user-0036,192.0.2.14,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),
